<<<<<<< HEAD
Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/axi_ad9361_adc_enable_i0,i_system_wrapper/system_i/axi_ad9361_adc_valid_i0,i_system_wrapper/system_i/axi_ad9361_adc_data_i0[15:0],i_system_wrapper/system_i/axi_ad9361_adc_enable_q0,i_system_wrapper/system_i/axi_ad9361_adc_valid_q0,i_system_wrapper/system_i/axi_ad9361_adc_data_q0[15:0],i_system_wrapper/system_i/axi_ad9361_adc_enable_i1,i_system_wrapper/system_i/axi_ad9361_adc_valid_i1,i_system_wrapper/system_i/axi_ad9361_adc_data_i1[15:0],i_system_wrapper/system_i/axi_ad9361_adc_enable_q1,i_system_wrapper/system_i/axi_ad9361_adc_valid_q1,i_system_wrapper/system_i/axi_ad9361_adc_data_q1[15:0]
0,0,1,1,1,-290,1,1,115,1,1,-11,1,1,-15
1,1,0,1,0,-290,1,0,115,1,0,-11,1,0,-15
2,2,0,1,0,-290,1,0,115,1,0,-11,1,0,-15
3,3,0,1,0,-290,1,0,115,1,0,-11,1,0,-15
4,4,0,1,1,48,1,1,837,1,1,0,1,1,10
5,5,0,1,0,48,1,0,837,1,0,0,1,0,10
6,6,0,1,0,48,1,0,837,1,0,0,1,0,10
7,7,0,1,0,48,1,0,837,1,0,0,1,0,10
8,8,0,1,1,826,1,1,726,1,1,-13,1,1,-4
9,9,0,1,0,826,1,0,726,1,0,-13,1,0,-4
10,10,0,1,0,826,1,0,726,1,0,-13,1,0,-4
11,11,0,1,0,826,1,0,726,1,0,-13,1,0,-4
12,12,0,1,1,302,1,1,115,1,1,-4,1,1,8
13,13,0,1,0,302,1,0,115,1,0,-4,1,0,8
14,14,0,1,0,302,1,0,115,1,0,-4,1,0,8
15,15,0,1,0,302,1,0,115,1,0,-4,1,0,8
16,16,0,1,1,282,1,1,69,1,1,1,1,1,7
17,17,0,1,0,282,1,0,69,1,0,1,1,0,7
18,18,0,1,0,282,1,0,69,1,0,1,1,0,7
19,19,0,1,0,282,1,0,69,1,0,1,1,0,7
20,20,0,1,1,899,1,1,30,1,1,14,1,1,2
21,21,0,1,0,899,1,0,30,1,0,14,1,0,2
22,22,0,1,0,899,1,0,30,1,0,14,1,0,2
