<<<<<<< HEAD
Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/axi_ad9361_adc_enable_i0,i_system_wrapper/system_i/axi_ad9361_adc_valid_i0,i_system_wrapper/system_i/axi_ad9361_adc_data_i0[15:0],i_system_wrapper/system_i/axi_ad9361_adc_enable_q0,i_system_wrapper/system_i/axi_ad9361_adc_valid_q0,i_system_wrapper/system_i/axi_ad9361_adc_data_q0[15:0],i_system_wrapper/system_i/axi_ad9361_adc_enable_i1,i_system_wrapper/system_i/axi_ad9361_adc_valid_i1,i_system_wrapper/system_i/axi_ad9361_adc_data_i1[15:0],i_system_wrapper/system_i/axi_ad9361_adc_enable_q1,i_system_wrapper/system_i/axi_ad9361_adc_valid_q1,i_system_wrapper/system_i/axi_ad9361_adc_data_q1[15:0]
0,0,1,1,0,67,1,0,-326,1,0,-14,1,0,1
1,1,0,1,1,-41,1,1,-440,1,1,-18,1,1,-5
2,2,0,1,0,-41,1,0,-440,1,0,-18,1,0,-5
3,3,0,1,0,-41,1,0,-440,1,0,-18,1,0,-5
4,4,0,1,0,-41,1,0,-440,1,0,-18,1,0,-5
5,5,0,1,1,-372,1,1,-362,1,1,10,1,1,-1
6,6,0,1,0,-372,1,0,-362,1,0,10,1,0,-1
7,7,0,1,0,-372,1,0,-362,1,0,10,1,0,-1
8,8,0,1,0,-372,1,0,-362,1,0,10,1,0,-1
9,9,0,1,1,42,1,1,-52,1,1,-13,1,1,-5
10,10,0,1,0,42,1,0,-52,1,0,-13,1,0,-5
11,11,0,1,0,42,1,0,-52,1,0,-13,1,0,-5
12,12,0,1,0,42,1,0,-52,1,0,-13,1,0,-5
13,13,0,1,1,490,1,1,-20,1,1,-13,1,1,20
14,14,0,1,0,490,1,0,-20,1,0,-13,1,0,20
15,15,0,1,0,490,1,0,-20,1,0,-13,1,0,20
16,16,0,1,0,490,1,0,-20,1,0,-13,1,0,20
17,17,0,1,1,227,1,1,87,1,1,-17,1,1,14
18,18,0,1,0,227,1,0,87,1,0,-17,1,0,14
19,19,0,1,0,227,1,0,87,1,0,-17,1,0,14
20,20,0,1,0,227,1,0,87,1,0,-17,1,0,14
21,21,0,1,1,-347,1,1,204,1,1,9,1,1,9
22,22,0,1,0,-347,1,0,204,1,0,9,1,0,9
23,23,0,1,0,-347,1,0,204,1,0,9,1,0,9
24,24,0,1,0,-347,1,0,204,1,0,9,1,0,9
25,25,0,1,1,-449,1,1,84,1,1,-3,1,1,5
26,26,0,1,0,-449,1,0,84,1,0,-3,1,0,5
27,27,0,1,0,-449,1,0,84,1,0,-3,1,0,5
28,28,0,1,0,-449,1,0,84,1,0,-3,1,0,5
29,29,0,1,1,-506,1,1,-266,1,1,1,1,1,4
30,30,0,1,0,-506,1,0,-266,1,0,1,1,0,4
31,31,0,1,0,-506,1,0,-266,1,0,1,1,0,4
32,32,0,1,0,-506,1,0,-266,1,0,1,1,0,4
33,33,0,1,1,-314,1,1,-117,1,1,10,1,1,5
34,34,0,1,0,-314,1,0,-117,1,0,10,1,0,5
35,35,0,1,0,-314,1,0,-117,1,0,10,1,0,5
36,36,0,1,0,-314,1,0,-117,1,0,10,1,0,5
37,37,0,1,1,-429,1,1,26,1,1,12,1,1,-14
38,38,0,1,0,-429,1,0,26,1,0,12,1,0,-14
39,39,0,1,0,-429,1,0,26,1,0,12,1,0,-14
40,40,0,1,0,-429,1,0,26,1,0,12,1,0,-14
41,41,0,1,1,-582,1,1,-249,1,1,13,1,1,0
42,42,0,1,0,-582,1,0,-249,1,0,13,1,0,0
43,43,0,1,0,-582,1,0,-249,1,0,13,1,0,0
44,44,0,1,0,-582,1,0,-249,1,0,13,1,0,0
45,45,0,1,1,-570,1,1,-354,1,1,19,1,1,25
46,46,0,1,0,-570,1,0,-354,1,0,19,1,0,25
47,47,0,1,0,-570,1,0,-354,1,0,19,1,0,25
48,48,0,1,0,-570,1,0,-354,1,0,19,1,0,25
49,49,0,1,1,-273,1,1,-501,1,1,31,1,1,18
50,50,0,1,0,-273,1,0,-501,1,0,31,1,0,18
51,51,0,1,0,-273,1,0,-501,1,0,31,1,0,18
52,52,0,1,0,-273,1,0,-501,1,0,31,1,0,18
53,53,0,1,1,159,1,1,-475,1,1,-8,1,1,16
54,54,0,1,0,159,1,0,-475,1,0,-8,1,0,16
55,55,0,1,0,159,1,0,-475,1,0,-8,1,0,16
56,56,0,1,0,159,1,0,-475,1,0,-8,1,0,16
57,57,0,1,1,148,1,1,-475,1,1,8,1,1,11
58,58,0,1,0,148,1,0,-475,1,0,8,1,0,11
59,59,0,1,0,148,1,0,-475,1,0,8,1,0,11
60,60,0,1,0,148,1,0,-475,1,0,8,1,0,11
61,61,0,1,1,58,1,1,-321,1,1,18,1,1,-12
62,62,0,1,0,58,1,0,-321,1,0,18,1,0,-12
63,63,0,1,0,58,1,0,-321,1,0,18,1,0,-12
64,64,0,1,0,58,1,0,-321,1,0,18,1,0,-12
65,65,0,1,1,233,1,1,149,1,1,26,1,1,14
66,66,0,1,0,233,1,0,149,1,0,26,1,0,14
67,67,0,1,0,233,1,0,149,1,0,26,1,0,14
68,68,0,1,0,233,1,0,149,1,0,26,1,0,14
69,69,0,1,1,157,1,1,169,1,1,20,1,1,26
70,70,0,1,0,157,1,0,169,1,0,20,1,0,26
71,71,0,1,0,157,1,0,169,1,0,20,1,0,26
72,72,0,1,0,157,1,0,169,1,0,20,1,0,26
73,73,0,1,1,-503,1,1,-479,1,1,6,1,1,-4
74,74,0,1,0,-503,1,0,-479,1,0,6,1,0,-4
75,75,0,1,0,-503,1,0,-479,1,0,6,1,0,-4
